participantId,task,format,response,start_time,end_time,duration_sec,help_count,correct_answer,correct
60f1f1d4ac991a259b83f603,reading-task-tabular-4,json,Bob,1746232030031.0,1746232075072.0,45.041,0,Bob,1
60f1f1d4ac991a259b83f603,reading-task-tabular-5,json,"['Bob', 'Alice']",1746232084637.0,1746232133317.0,48.68,0,"[Bob, Alice], [Eve]",1
678f0bb28ec3307e4f1afb78,reading-task-tabular-1,hjson,87,1746144649048.0,1746144777889.0,128.841,0,87,1
678f0bb28ec3307e4f1afb78,reading-task-tabular-2,hjson,quiz2,1746144788858.0,1746144825979.0,37.121,0,quiz2,1
678f0bb28ec3307e4f1afb78,reading-task-tabular-3,hjson,4,1746144831929.0,1746144862276.0,30.347,0,4,1
678f0bb28ec3307e4f1afb78,reading-task-tabular-4,hjson,Bob,1746144869255.0,1746144950210.0,80.955,0,Bob,1
678f0bb28ec3307e4f1afb78,reading-task-tabular-5,hjson,"['Bob', 'Alice']",1746144955799.0,1746144997447.0,41.648,0,"[Bob, Alice], [Eve]",1
669b961e1c9cf30a26bb57d2,reading-task-tabular-1,xml,87,1746231885832.0,1746231971698.0,85.866,0,87,1
669b961e1c9cf30a26bb57d2,reading-task-tabular-2,xml,quiz2,1746231983907.0,1746232041463.0,57.556,0,quiz2,1
669b961e1c9cf30a26bb57d2,reading-task-tabular-3,xml,4,1746232053392.0,1746232109877.0,56.485,0,4,1
669b961e1c9cf30a26bb57d2,reading-task-tabular-4,xml,Bob,1746232119027.0,1746232196350.0,77.323,0,Bob,1
669b961e1c9cf30a26bb57d2,reading-task-tabular-5,xml,"['Bob', 'Alice']",1746232203007.0,1746232255467.0,52.46,0,"[Bob, Alice], [Eve]",1
673c13c9d37c8a73bc80b8ce,reading-task-tabular-1,json,87,1746145297782.0,1746145493584.0,195.802,0,87,1
673c13c9d37c8a73bc80b8ce,reading-task-tabular-2,json,quiz2,1746145508125.0,1746145580806.0,72.681,0,quiz2,1
673c13c9d37c8a73bc80b8ce,reading-task-tabular-3,json,4,1746145596842.0,1746145647497.0,50.655,0,4,1
673c13c9d37c8a73bc80b8ce,reading-task-tabular-4,json,Bob,1746145658082.0,1746145714670.0,56.588,0,Bob,1
