participantId,task,format,response,start_time,end_time,duration_sec,help_count
669b961e1c9cf30a26bb57d2,reading-task-tabular-4,xml,Bob,1746232119027,1746232196350,77.323,0
669b961e1c9cf30a26bb57d2,reading-task-tabular-5,xml,"['Bob', 'Alice']",1746232203007,1746232255467,52.46,0
673c13c9d37c8a73bc80b8ce,reading-task-tabular-1,json,87,1746145297782,1746145493584,195.802,0
673c13c9d37c8a73bc80b8ce,reading-task-tabular-2,json,quiz2,1746145508125,1746145580806,72.681,0
673c13c9d37c8a73bc80b8ce,reading-task-tabular-3,json,4,1746145596842,1746145647497,50.655,0
673c13c9d37c8a73bc80b8ce,reading-task-tabular-4,json,Bob,1746145658082,1746145714670,56.588,0
673c13c9d37c8a73bc80b8ce,reading-task-tabular-5,json,"['Alice', 'Bob']",1746145722310,1746145817769,95.459,0
66992f58a7964f557fc75f58,reading-task-tabular-1,toml,87,1744921372929,1744921831408,458.479,0
66992f58a7964f557fc75f58,reading-task-tabular-2,toml,quiz2,1744921835211,1744921850879,15.668,0
66992f58a7964f557fc75f58,reading-task-tabular-3,toml,4,1744921853340,1744923714570,1861.23,0
66992f58a7964f557fc75f58,reading-task-tabular-4,toml,Bob,1744923717438,1744923757129,39.691,0
66992f58a7964f557fc75f58,reading-task-tabular-5,toml,"['Bob', 'Alice']",1744923759913,1744924058275,298.362,0
60721c2da01b3a616edba9a7,reading-task-tabular-1,xml,77,1745930325234,1745930418504,93.27,0
60721c2da01b3a616edba9a7,reading-task-tabular-2,xml,quiz2,1745930426542,1745930479116,52.574,0
60721c2da01b3a616edba9a7,reading-task-tabular-3,xml,3,1745930484356,1745930534065,49.709,0
60721c2da01b3a616edba9a7,reading-task-tabular-4,xml,Bob,1745930542839,1745930673831,130.992,0
60721c2da01b3a616edba9a7,reading-task-tabular-5,xml,"['Bob', 'Alice']",1745930678646,1745930799027,120.381,0
673e43cc760355e9e4f042a3,reading-task-tabular-1,json5,87,1746562911603,1746562954231,42.628,0
673e43cc760355e9e4f042a3,reading-task-tabular-2,json5,quiz2,1746562960754,1746563031120,70.366,0
673e43cc760355e9e4f042a3,reading-task-tabular-3,json5,2,1746563035899,1746563094679,58.78,0
673e43cc760355e9e4f042a3,reading-task-tabular-4,json5,Bob,1746563098400,1746563139255,40.855,0
673e43cc760355e9e4f042a3,reading-task-tabular-5,json5,"['Alice', 'Bob']",1746563144314,1746563201119,56.805,0
60a0b744298c64d46b63e893,reading-task-tabular-1,hjson,87,1746521854362,1746521899651,45.289,0
60a0b744298c64d46b63e893,reading-task-tabular-2,hjson,quiz2,1746521905318,1746522013919,108.601,0
60a0b744298c64d46b63e893,reading-task-tabular-3,hjson,4,1746522018222,1746522074667,56.445,0
60a0b744298c64d46b63e893,reading-task-tabular-4,hjson,Bob,1746522080828,1746522109748,28.92,0
60a0b744298c64d46b63e893,reading-task-tabular-5,hjson,"['Bob', 'Alice']",1746522117498,1746522187792,70.294,0
67dc19c31078d1581e39e75a,reading-task-tabular-1,yaml,77,1746144234390,1746144301825,67.435,0
67dc19c31078d1581e39e75a,reading-task-tabular-2,yaml,quiz2,1746144309291,1746144359952,50.661,0
67dc19c31078d1581e39e75a,reading-task-tabular-3,yaml,2,1746144366823,1746144397258,30.435,0
67dc19c31078d1581e39e75a,reading-task-tabular-4,yaml,Bob,1746144403012,1746144435710,32.698,0
67dc19c31078d1581e39e75a,reading-task-tabular-5,yaml,"['Bob', 'Alice', 'Eve']",1746144441513,1746144487304,45.791,0
678bad003d15e6aba1ee5a5d,reading-task-tabular-1,jsonc,87,1746385238352,1746385278830,40.478,0
678bad003d15e6aba1ee5a5d,reading-task-tabular-2,jsonc,quiz2,1746385285357,1746385347829,62.472,0
678bad003d15e6aba1ee5a5d,reading-task-tabular-3,jsonc,4,1746385354746,1746385419242,64.496,0
678bad003d15e6aba1ee5a5d,reading-task-tabular-4,jsonc,Bob,1746385423940,1746385494543,70.603,0
678bad003d15e6aba1ee5a5d,reading-task-tabular-5,jsonc,"['Bob', 'Alice']",1746385499287,1746385613049,113.762,0
66cdfebcb908ea2717d06b6c,reading-task-tabular-1,hjson,87,1746144053941,1746144145684,91.743,0
66cdfebcb908ea2717d06b6c,reading-task-tabular-2,hjson,quiz2,1746144156303,1746144183287,26.984,0
66cdfebcb908ea2717d06b6c,reading-task-tabular-3,hjson,4,1746144192229,1746144222946,30.717,0
66cdfebcb908ea2717d06b6c,reading-task-tabular-4,hjson,Bob,1746144231922,1746144269413,37.491,0
66cdfebcb908ea2717d06b6c,reading-task-tabular-5,hjson,"['Bob', 'Eve']",1746144275663,1746144334305,58.642,0
67f0c5d37f91ceae5cb3b318,reading-task-tabular-1,jsonc,87,1746144229415,1746144270996,41.581,0
67f0c5d37f91ceae5cb3b318,reading-task-tabular-2,jsonc,quiz2,1746144277257,1746144325246,47.989,0
67f0c5d37f91ceae5cb3b318,reading-task-tabular-3,jsonc,4,1746144343133,1746144375340,32.207,0
67f0c5d37f91ceae5cb3b318,reading-task-tabular-4,jsonc,Bob,1746144383707,1746144526669,142.962,0
67f0c5d37f91ceae5cb3b318,reading-task-tabular-5,jsonc,"['Bob', 'Alice']",1746144533962,1746144676153,142.191,0
56cb8858edf8da000b6df354,reading-task-tabular-1,hjson,87,1746391668428,1746391719274,50.846,0
56cb8858edf8da000b6df354,reading-task-tabular-2,hjson,quiz2,1746391724224,1746391748657,24.433,0
56cb8858edf8da000b6df354,reading-task-tabular-3,hjson,4,1746391751497,1746391765557,14.06,0
56cb8858edf8da000b6df354,reading-task-tabular-4,hjson,Bob,1746391768753,1746391784384,15.631,0
56cb8858edf8da000b6df354,reading-task-tabular-5,hjson,"['Bob', 'Alice']",1746391786929,1746391835272,48.343,0
67aee0dfad3492b61a9ba0eb,reading-task-tabular-1,jsonc,87,1746150135807,1746150154204,18.397,0
67aee0dfad3492b61a9ba0eb,reading-task-tabular-2,jsonc,quiz2,1746150160978,1746150220410,59.432,0
67aee0dfad3492b61a9ba0eb,reading-task-tabular-3,jsonc,4,1746150227367,1746150265359,37.992,0
67aee0dfad3492b61a9ba0eb,reading-task-tabular-4,jsonc,Bob,1746150271023,1746150281650,10.627,0
67aee0dfad3492b61a9ba0eb,reading-task-tabular-5,jsonc,"['Bob', 'Alice']",1746150287427,1746150328382,40.955,0
667971a555af1f83d3f29ae7,reading-task-tabular-1,hjson,87,1746495016300,1746495093544,77.244,0
667971a555af1f83d3f29ae7,reading-task-tabular-2,hjson,quiz2,1746495100791,1746495144477,43.686,0
667971a555af1f83d3f29ae7,reading-task-tabular-3,hjson,4,1746495149442,1746495183964,34.522,0
667971a555af1f83d3f29ae7,reading-task-tabular-4,hjson,Bob,1746495187726,1746495216753,29.027,0
667971a555af1f83d3f29ae7,reading-task-tabular-5,hjson,"['Bob', 'Alice']",1746495224183,1746495303075,78.892,0
5c6414540821d30001046198,reading-task-tabular-1,hjson,87,1747341394619,1747341501344,106.725,0
5c6414540821d30001046198,reading-task-tabular-2,hjson,quiz2,1747341515701,1747341628371,112.67,0
5c6414540821d30001046198,reading-task-tabular-3,hjson,4,1747341635146,1747341670701,35.555,0
5c6414540821d30001046198,reading-task-tabular-4,hjson,Bob,1747341678874,1747341726237,47.363,0
5c6414540821d30001046198,reading-task-tabular-5,hjson,"['Bob', 'Alice']",1747341734935,1747341833372,98.437,0
6788c1c724c24dc56b08790a,reading-task-tabular-1,json5,87,1746528681556,1746528921061,239.505,1
6788c1c724c24dc56b08790a,reading-task-tabular-2,json5,quiz2,1746528928325,1746528983263,54.938,0
6788c1c724c24dc56b08790a,reading-task-tabular-3,json5,3,1746529043482,1746529090350,46.868,0
6788c1c724c24dc56b08790a,reading-task-tabular-4,json5,Bob,1746529096699,1746529140142,43.443,0
6788c1c724c24dc56b08790a,reading-task-tabular-5,json5,"['Bob', 'Alice']",1746529144098,1746529206668,62.57,0
67adb520391eb17f214a50b4,reading-task-tabular-1,yaml,87,1746144977958,1746145091871,113.913,0
67adb520391eb17f214a50b4,reading-task-tabular-2,yaml,quiz2,1746145101616,1746145132983,31.367,0
67adb520391eb17f214a50b4,reading-task-tabular-3,yaml,2,1746145140979,1746145174481,33.502,0
67adb520391eb17f214a50b4,reading-task-tabular-4,yaml,Bob,1746145181912,1746145262104,80.192,0
67adb520391eb17f214a50b4,reading-task-tabular-5,yaml,"['Bob', 'Alice']",1746145268147,1746145343890,75.743,0
67d95269b47464c18da766ca,reading-task-tabular-1,xml,77,1746149904694,1746150001888,97.194,1
67d95269b47464c18da766ca,reading-task-tabular-2,xml,quiz2,1746150016350,1746150168240,151.89,0
67d95269b47464c18da766ca,reading-task-tabular-3,xml,4,1746150175648,1746150263483,87.835,0
67d95269b47464c18da766ca,reading-task-tabular-4,xml,Bob,1746150271884,1746150380215,108.331,0
67d95269b47464c18da766ca,reading-task-tabular-5,xml,"['Bob', 'Alice']",1746150386378,1746150475946,89.568,0
64275e53f51a5ed4f6b7d019,reading-task-tabular-1,toml,87,1746144474338,1746144603845,129.507,0
64275e53f51a5ed4f6b7d019,reading-task-tabular-2,toml,quiz2,1746144608795,1746144651020,42.225,0
64275e53f51a5ed4f6b7d019,reading-task-tabular-3,toml,4,1746144655769,1746144681558,25.789,0
64275e53f51a5ed4f6b7d019,reading-task-tabular-4,toml,Bob,1746144685597,1746144723698,38.101,0
64275e53f51a5ed4f6b7d019,reading-task-tabular-5,toml,"['Bob', 'Alice']",1746144727382,1746144774091,46.709,0
6734346ca8e90c2da6fb4509,reading-task-tabular-1,jsonc,9,1747334901138,1747334927211,26.073,1
6734346ca8e90c2da6fb4509,reading-task-tabular-2,jsonc,quiz2,1747334932299,1747334978204,45.905,0
6734346ca8e90c2da6fb4509,reading-task-tabular-3,jsonc,4,1747334982528,1747335033279,50.751,0
6734346ca8e90c2da6fb4509,reading-task-tabular-4,jsonc,Bob,1747335041352,1747335154283,112.931,0
6734346ca8e90c2da6fb4509,reading-task-tabular-5,jsonc,"['Bob', 'Alice']",1747335161018,1747335261896,100.878,0
66049694dfb8828a8f3dce70,reading-task-tabular-1,yaml,87,1745929646468,1745929822828,176.36,0
66049694dfb8828a8f3dce70,reading-task-tabular-2,yaml,quiz2,1745929836318,1745929881563,45.245,0
66049694dfb8828a8f3dce70,reading-task-tabular-3,yaml,4,1745929891686,1745929925232,33.546,0
66049694dfb8828a8f3dce70,reading-task-tabular-4,yaml,Bob,1745929931328,1745929962037,30.709,0
66049694dfb8828a8f3dce70,reading-task-tabular-5,yaml,"['Bob', 'Alice']",1745929968606,1745930057936,89.33,0
67ab214c2cde1be7c45535ac,reading-task-tabular-1,jsonc,87,1745933107504,1745933188927,81.423,0
67ab214c2cde1be7c45535ac,reading-task-tabular-2,jsonc,quiz2,1745933200888,1745933217879,16.991,0
67ab214c2cde1be7c45535ac,reading-task-tabular-3,jsonc,4,1745933223832,1745933234811,10.979,0
67ab214c2cde1be7c45535ac,reading-task-tabular-4,jsonc,Bob,1745933241737,1745933264427,22.69,0
67ab214c2cde1be7c45535ac,reading-task-tabular-5,jsonc,"['Bob', 'Alice']",1745933272279,1745933317616,45.337,0
607728dc0b4f8590b94ae57c,reading-task-tabular-1,jsonc,87,1746383839380,1746383875741,36.361,0
607728dc0b4f8590b94ae57c,reading-task-tabular-2,jsonc,quiz2,1746383880220,1746383919208,38.988,0
607728dc0b4f8590b94ae57c,reading-task-tabular-3,jsonc,4,1746383924359,1746384174731,250.372,0
607728dc0b4f8590b94ae57c,reading-task-tabular-4,jsonc,Bob,1746384178834,1746384205008,26.174,0
607728dc0b4f8590b94ae57c,reading-task-tabular-5,jsonc,"['Bob', 'Alice']",1746384208264,1746384273795,65.531,0
667c18ace97ab6869cb1c50e,reading-task-tabular-1,hjson,87,1746385550356,1746385614539,64.183,0
667c18ace97ab6869cb1c50e,reading-task-tabular-2,hjson,quiz2,1746385618669,1746385676505,57.836,0
667c18ace97ab6869cb1c50e,reading-task-tabular-3,hjson,4,1746385682087,1746385720873,38.786,0
667c18ace97ab6869cb1c50e,reading-task-tabular-4,hjson,Bob,1746385724377,1746385745522,21.145,0
667c18ace97ab6869cb1c50e,reading-task-tabular-5,hjson,"['Eve', 'Alice', 'Bob']",1746385748559,1746385786724,38.165,0
667ac09492ea0caadf488520,reading-task-tabular-1,json,8,1746489141734,1746489231720,89.986,0
667ac09492ea0caadf488520,reading-task-tabular-2,json,quiz1,1746489241760,1746489385584,143.824,0
667ac09492ea0caadf488520,reading-task-tabular-3,json,5,1746489399271,1746489508187,108.916,0
667ac09492ea0caadf488520,reading-task-tabular-4,json,Bob,1746489515457,1746489547753,32.296,0
667ac09492ea0caadf488520,reading-task-tabular-5,json,"['Bob', 'Alice', 'Eve']",1746489560790,1746489646682,85.892,0
6740ae39809389d7da9de209,reading-task-tabular-1,xml,87,1746144511661,1746144660143,148.482,0
6740ae39809389d7da9de209,reading-task-tabular-2,xml,quiz2,1746144675332,1746144774746,99.414,0
6740ae39809389d7da9de209,reading-task-tabular-3,xml,4,1746144781608,1746144830064,48.456,0
6740ae39809389d7da9de209,reading-task-tabular-4,xml,Bob,1746144838558,1746144925703,87.145,0
6740ae39809389d7da9de209,reading-task-tabular-5,xml,"['Bob', 'Alice']",1746144933978,1746145063103,129.125,0
