participantId,format,task_time,total_time,ratio,task
6740ae39809389d7da9de209,xml,699.77,3857.023,0.18142748954310098,writing_time/total_time
6753746b1f8827e2bd586bf0,xml,482.722,2374.943,0.2032562465709703,writing_time/total_time
677c52fe648cd68583dd3b1e,xml,1454.351,4581.722,0.3174245403802326,writing_time/total_time
677d185800ab83d1b0185d82,jsonc,1234.604,5168.858,0.23885430785678383,writing_time/total_time
677d32c679491be18090225b,xml,542.719,2782.103,0.19507509247500904,writing_time/total_time
6784ff2095dd9b97e969b01f,jsonc,712.663,3695.298,0.19285670600855467,writing_time/total_time
6787d648d7b1963c661f9443,json5,1216.897,2435.983,0.4995506947298072,writing_time/total_time
6787e4bd2bf9557a90208f03,yaml,542.802,3770.024,0.14397839377149854,writing_time/total_time
6788c1c724c24dc56b08790a,json5,765.372,3724.649,0.20548835608402294,writing_time/total_time
678bad003d15e6aba1ee5a5d,jsonc,727.133,3786.57,0.19202946201971705,writing_time/total_time
678f0bb28ec3307e4f1afb78,hjson,878.973,4027.681,0.2182330229231163,writing_time/total_time
67a754a5c8614c52a939d87b,hjson,1120.942,5057.022,0.22166049505024896,writing_time/total_time
67ab214c2cde1be7c45535ac,jsonc,450.984,1696.769,0.26578986296897217,writing_time/total_time
67ab57e88fd0774428bd1f32,xml,1073.175,3509.296,0.3058091993379869,writing_time/total_time
67ab650c320eccf6141d4010,jsonc,1248.261,3356.075,0.3719407343399656,writing_time/total_time
67adb27bd5f5776fcb16da62,hjson,525.821,3737.17,0.14070031601452437,writing_time/total_time
67adb520391eb17f214a50b4,yaml,730.869,3772.203,0.19375123767199168,writing_time/total_time
67aee0dfad3492b61a9ba0eb,jsonc,777.428,3033.772,0.25625788622216833,writing_time/total_time
67bf88cc763aae600b429a3e,toml,430.476,2859.454,0.1505448242916305,writing_time/total_time
67c246023b44ca64d40ae45a,json5,476.665,3617.577,0.13176360862533126,writing_time/total_time
67cb01a82dda2577eb6ee320,json,1040.752,6101.46,0.17057425599774478,writing_time/total_time
67cd944859dabbd1d4552d39,json,787.316,3306.64,0.23810151694771733,writing_time/total_time
67d00f24466a67ba7e41228e,toml,1740.967,4482.184,0.3884193509235676,writing_time/total_time
67d1283c8f6169900d0072d2,yaml,431.688,3943.571,0.10946626800937526,writing_time/total_time
67d163e7b7bcc1e9718e01da,json5,1361.742,6416.125,0.21223744861579225,writing_time/total_time
67d188bcc201cc08eac23f92,json5,710.667,3500.856,0.2029980667585299,writing_time/total_time
67d29234dbfdb6668d124115,yaml,597.759,3115.488,0.19186689212091335,writing_time/total_time
67d548b5aa5737666a77a6d2,json5,1004.476,4507.52,0.22284449098395567,writing_time/total_time
67d7fa657f5ac0292a291a38,hjson,634.74,3083.975,0.20581878906281667,writing_time/total_time
67d95269b47464c18da766ca,xml,1121.444,4616.345,0.24292898386060832,writing_time/total_time
